"","provincia_iso","fecha","num_casos","num_casos_prueba_pcr","num_casos_prueba_test_ac","num_casos_prueba_otras","num_casos_prueba_desconocida","Comunidad.autónoma"
"404","AB","2020-05-31",1,1,0,0,0,"CM"
"405","AB","2020-07-30",4,4,0,0,0,"CM"
"406","AB","2020-02-19",0,0,0,0,0,"CM"
"407","AB","2020-05-29",10,10,0,0,0,"CM"
"408","AB","2020-02-09",0,0,0,0,0,"CM"
"409","AB","2020-03-08",28,2,0,0,26,"CM"
"410","AB","2020-07-28",5,5,0,0,0,"CM"
"411","AB","2020-02-16",0,0,0,0,0,"CM"
"412","AB","2020-03-29",91,23,4,0,64,"CM"
"413","AB","2020-06-20",1,1,0,0,0,"CM"
"414","AB","2020-02-14",0,0,0,0,0,"CM"
"415","AB","2020-06-19",1,1,0,0,0,"CM"
"416","AB","2020-07-03",3,3,0,0,0,"CM"
"417","AB","2020-09-22",0,0,0,0,0,"CM"
"418","AB","2020-03-26",148,42,1,0,105,"CM"
"419","AB","2020-09-08",53,53,0,0,0,"CM"
"420","AB","2020-03-10",43,7,0,0,36,"CM"
"421","AB","2020-07-21",3,3,0,0,0,"CM"
"422","AB","2020-03-17",143,24,0,0,119,"CM"
"423","AB","2020-03-31",93,28,5,0,60,"CM"
"424","AB","2020-03-30",102,22,4,0,76,"CM"
"425","AB","2020-09-05",48,48,0,0,0,"CM"
"426","AB","2020-07-26",2,2,0,0,0,"CM"
"427","AB","2020-08-02",5,5,0,0,0,"CM"
"428","AB","2020-02-21",0,0,0,0,0,"CM"
"429","AB","2020-03-20",166,50,1,0,115,"CM"
"430","AB","2020-06-18",0,0,0,0,0,"CM"
"431","AB","2020-03-03",9,2,0,0,7,"CM"
"432","AB","2020-09-16",61,61,0,0,0,"CM"
"433","AB","2020-09-01",93,93,0,0,0,"CM"
"434","AB","2020-03-18",153,35,1,0,117,"CM"
"435","AB","2020-04-01",75,32,7,0,36,"CM"
"436","AB","2020-06-15",0,0,0,0,0,"CM"
"437","AB","2020-06-14",0,0,0,0,0,"CM"
"438","AB","2020-09-13",48,48,0,0,0,"CM"
"439","AB","2020-03-22",130,27,2,0,101,"CM"
"440","AB","2020-03-06",14,5,0,0,9,"CM"
"441","AB","2020-06-12",1,1,0,0,0,"CM"
"442","AB","2020-09-03",65,65,0,0,0,"CM"
"443","AB","2020-03-12",91,13,0,0,78,"CM"
"444","AB","2020-03-11",63,12,1,0,50,"CM"
"445","AB","2020-08-17",57,57,0,0,0,"CM"
"446","AB","2020-04-03",50,23,3,0,24,"CM"
"447","AB","2020-02-10",0,0,0,0,0,"CM"
"448","AB","2020-03-09",31,6,0,0,25,"CM"
"449","AB","2020-06-16",0,0,0,0,0,"CM"
"450","AB","2020-03-16",147,37,1,0,109,"CM"
"451","AB","2020-03-23",145,36,0,0,109,"CM"
"452","AB","2020-09-11",68,68,0,0,0,"CM"
"453","AB","2020-02-15",0,0,0,0,0,"CM"
"454","AB","2020-07-18",1,1,0,0,0,"CM"
"455","AB","2020-03-05",10,5,0,0,5,"CM"
"456","AB","2020-03-19",147,37,1,0,109,"CM"
"457","AB","2020-07-31",10,10,0,0,0,"CM"
"458","AB","2020-02-20",1,1,0,0,0,"CM"
"459","AB","2020-03-24",141,48,3,0,90,"CM"
"460","AB","2020-09-06",29,29,0,0,0,"CM"
"461","AB","2020-04-02",88,22,4,0,62,"CM"
"462","AB","2020-03-15",187,51,1,0,135,"CM"
"463","AB","2020-03-21",141,36,1,0,104,"CM"
"464","AB","2020-03-13",133,33,0,0,100,"CM"
